Row Labels,PERCENTAGE OF TYPE,,,,,,,,,,
Movie,100.00%,,,,,,,,,,
Grand Total,100.00%,,,,,,Row Labels,Count of cast,,,
,,,,,,,David Attenborough,19,,,
,,,,,,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",14,,,
,,,,,,,Samuel West,10,,,
,,,,,,,Jeff Dunham,7,,,
,,,,,,,Craig Sechler,6,,Row Labels,Count of type
Row Labels,Count of rating,,,,Row Labels,Count of release_year,"David Spade, London Hughes, Fortune Feimster",6,,Movie,69.62%
TV-MA,3207,,,,1925,1,Kevin Hart,6,,TV Show,30.38%
TV-14,2160,,,,1942,2,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",6,,Grand Total,100.00%
TV-PG,863,,,,1943,3,Grand Total,74,,,
R,799,,,,1944,3,,,,,
PG-13,490,,,,1945,4,,,,,
TV-Y7,334,,,,1946,2,,,,,
TV-Y,307,,,,1947,1,Row Labels,Count of listed_in,,,
PG,287,,,,1954,2,"Dramas, International Movies",362,,,
TV-G,220,,,,1955,3,Documentaries,359,,,
NR,80,,,,1956,2,Stand-Up Comedy,334,,,
G,41,,,,1958,3,"Comedies, Dramas, International Movies",274,,,
TV-Y7-FV,6,,,,1959,1,"Dramas, Independent Movies, International Movies",252,,,
UR,3,,,,1960,4,Kids' TV,220,,,
NC-17,3,,,,1961,1,Children & Family Movies,215,,,
Grand Total,8800,,,,1962,3,"Children & Family Movies, Comedies",201,,,
,,,,,1963,2,"Documentaries, International Movies",186,,,
,,,,,1964,2,"Dramas, International Movies, Romantic Movies",180,,,
,,,,,1965,2,Grand Total,2583,,,
,,,,,1966,1,,,,,
,,,,,1967,5,,,,,
,,,,,1968,3,Row Labels,Count of director,,,
,,,,,1969,2,Rajiv Chilaka,19,,,
,,,,,1970,2,"Raúl Campos, Jan Suter",18,,,
,,,,,1971,5,Suhas Kadav,16,,,
,,,,,1972,5,Marcus Raboy,16,,,
,,,,,1973,10,Jay Karas,14,,,
,,,,,1974,7,Cathy Garcia-Molina,13,,,
,,,,,1975,7,Youssef Chahine,12,,,
,,,,,1976,9,Jay Chapman,12,,,
,,,,,1977,7,Martin Scorsese,12,,,
,,,,,1978,7,Steven Spielberg,11,,,
,,,,,1979,11,Grand Total,143,,,
,,,,,1980,11,,,,,
,,,,,1981,13,,,,,
,,,,,1982,17,,,,,
,,,,,1983,11,,,,,
,,,,,1984,12,,,,,
,,,,,1985,10,,,,,
,,,,,1986,13,,,,,
,,,,,1987,8,,,,,
,,,,,1988,18,,,,,
,,,,,1989,16,,,,,
,,,,,1990,22,,,,,
,,,,,1991,17,,,,,
,,,,,1992,23,,,,,
,,,,,1993,28,,,,,
,,,,,1994,22,,,,,
,,,,,1995,25,,,,,
Row Labels,Count of country,,,,1996,24,,,,,
United States,2818,,,,1997,38,,,,,
India,972,,,,1998,36,,,,,
United Kingdom,419,,,,1999,39,,,,,
Japan,245,,,,2000,37,,,,,
South Korea,199,,,,2001,45,,,,,
Canada,181,,,,2002,51,,,,,
Spain,145,,,,2003,61,,,,,
France,124,,,,2004,64,,,,,
Mexico,110,,,,2005,80,,,,,
Egypt,106,,,,2006,96,,,,,
Grand Total,5319,,,,2007,88,,,,,
,,,,,2008,136,,,,,
,,,,,2009,152,,,,,
,,,,,2010,194,,,,,
,,,,,2011,185,,,,,
,,,,,2012,237,,,,,
,,,,,2013,288,,,,,
,,,,,2014,352,,,,,
,,,,,2015,560,,,,,
,,,,,2016,902,,,,,
,,,,,2017,1032,,,,,
,,,,,2018,1147,,,,,
,,,,,2019,1030,,,,,
,,,,,2020,953,,,,,
,,,,,2021,592,,,,,
,,,,,Grand Total,8807,,,,,
